#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-02-13;Cambodge;1;0;1;0.00;100.00;0.00
2020-02-13;Japon;28;1;9;3.57;32.14;64.29
2020-02-13;Inde;3;0;0;0.00;0.00;100.00
2020-02-13;Hong-Kong;53;1;1;1.89;1.89;96.23
2020-02-13;Royaume-Uni;9;0;1;0.00;11.11;88.89
2020-02-13;France;11;0;2;0.00;18.18;81.82
2020-02-13;Finlande;1;0;1;0.00;100.00;0.00
2020-02-13;Espagne;2;0;0;0.00;0.00;100.00
2020-02-13;Allemagne;16;0;1;0.00;6.25;93.75
2020-02-13;Chine;59832;1368;6213;2.29;10.38;87.33
2020-02-13;Canada;7;0;1;0.00;14.29;85.71
2020-02-13;Belgique;1;0;0;0.00;0.00;100.00
2020-02-13;Australie;15;0;8;0.00;53.33;46.67
2020-02-13;Émirats Arabes Unis;8;0;1;0.00;12.50;87.50
2020-02-12;Émirats Arabes Unis;8;0;1;0.00;12.50;87.50
2020-02-12;Australie;15;0;2;0.00;13.33;86.67
2020-02-12;Belgique;1;0;0;0.00;0.00;100.00
2020-02-12;Canada;7;0;1;0.00;14.29;85.71
2020-02-12;Chine;44699;1116;5079;2.50;11.36;86.14
2020-02-12;Allemagne;16;0;0;0.00;0.00;100.00
2020-02-12;Espagne;2;0;0;0.00;0.00;100.00
2020-02-12;Finlande;1;0;1;0.00;100.00;0.00
2020-02-12;Royaume-Uni;9;0;1;0.00;11.11;88.89
2020-02-12;France;11;0;2;0.00;18.18;81.82
2020-02-12;Hong-Kong;50;1;1;2.00;2.00;96.00
2020-02-12;Inde;3;0;0;0.00;0.00;100.00
2020-02-12;Japon;28;0;9;0.00;32.14;67.86
2020-02-12;Cambodge;1;0;1;0.00;100.00;0.00
2020-02-12;Italie;3;0;0;0.00;0.00;100.00
2020-02-12;Corée du Sud;28;0;7;0.00;25.00;75.00
2020-02-12;Sri Lanka;1;0;1;0.00;100.00;0.00
2020-02-12;Macao;10;0;2;0.00;20.00;80.00
2020-02-12;Malaisie;18;0;3;0.00;16.67;83.33
2020-02-12;Népal;1;0;1;0.00;100.00;0.00
2020-02-12;Fédération de Russie;2;0;2;0.00;100.00;0.00
2020-02-12;Philippines;3;1;1;33.33;33.33;33.33
2020-02-12;Suède;1;0;0;0.00;0.00;100.00
2020-02-12;Singapour;50;0;15;0.00;30.00;70.00
2020-02-12;Thaïlande;33;0;10;0.00;30.30;69.70
2020-02-12;Taïwan;18;0;1;0.00;5.56;94.44
2020-02-12;États-Unis;13;0;3;0.00;23.08;76.92
2020-02-12;Viet Nam;15;0;6;0.00;40.00;60.00
